날짜,상품명,발주가능상태,입고수량,카테고리,출고수량
2023-05-16,S7_193,발주가능,135,우유,126
2023-05-16,S7_196,발주가능,596,우유,589
2023-05-16,S7_198,발주가능,231,간식,228
2023-05-16,S7_199,발주가능,568,간식,561
2023-05-16,S7_203,발주가능,27,배달음식,26
2023-05-16,S7_204,발주가능,506,배달음식,500
2023-05-16,S7_205,발주가능,361,배달음식,361
2023-05-16,S7_206,발주가능,303,빵,302
2023-05-16,S7_207,발주가능,60,빵,54
2023-05-16,S7_209,발주가능,529,물,521
2023-05-16,S7_211,발주가능,607,물,601
2023-05-16,S7_212,발주가능,22,물,14
2023-05-16,S7_215,발주가능,277,우유,274
2023-05-16,S7_216,발주가능,408,우유,404
2023-05-16,S7_218,발주가능,114,우유,109
2023-05-16,S7_224,발주가능,509,빵,507
2023-05-16,S7_227,발주가능,325,우유,323
2023-05-16,S7_229,발주가능,614,주류,613
2023-05-16,S7_230,발주가능,96,주류,95
2023-05-16,S7_235,발주가능,294,물,291
2023-05-16,S7_236,발주가능,164,물,164
2023-05-16,S7_237,발주가능,193,물,193
2023-05-16,S7_239,발주가능,512,빵,504
2023-05-16,S7_242,발주가능,275,물,268
2023-05-16,S7_245,발주가능,615,배달음식,607
2023-05-16,S7_248,발주가능,567,물,561
2023-05-16,S7_250,발주가능,608,배달음식,602
2023-05-16,S7_251,발주가능,42,배달음식,37
2023-05-16,S7_254,발주가능,328,간식,321
2023-05-16,S7_256,발주가능,563,간식,556
2023-05-16,S7_258,발주가능,459,간식,456
2023-05-16,S7_262,발주가능,213,간식,212
2023-05-16,S7_265,발주가능,568,배달음식,566
2023-05-16,S7_266,발주가능,624,배달음식,615
2023-05-16,S7_270,발주가능,489,빵,489
2023-05-16,S7_271,발주가능,288,빵,282
2023-05-16,S7_273,발주가능,123,빵,115
2023-05-16,S7_274,발주가능,176,우유,172
2023-05-16,S7_278,발주가능,110,빵,105
2023-05-16,S7_279,발주가능,400,빵,396
2023-05-16,S7_280,발주가능,652,주류,649
2023-05-16,S7_286,발주가능,90,물,84
2023-05-16,S7_288,발주가능,513,물,510
2023-05-16,S7_289,발주가능,405,물,405
2023-05-16,S7_290,발주가능,83,물,78
2023-05-16,S7_291,발주가능,591,주류,590
2023-05-16,S7_293,발주가능,67,주류,64
2023-05-16,S7_295,발주가능,568,빵,567
2023-05-16,S7_296,발주가능,184,빵,181
2023-05-16,S7_303,발주가능,30,주류,26
2023-05-16,S7_305,발주가능,50,주류,41
2023-05-16,S7_307,발주가능,387,주류,384
2023-05-16,S7_315,발주가능,424,빵,422
2023-05-16,S7_317,발주가능,245,빵,241
2023-05-16,S7_321,발주가능,485,빵,483
2023-05-16,S7_324,발주가능,466,주류,460
2023-05-16,S7_326,발주가능,502,주류,494
2023-05-16,S7_328,발주가능,266,주류,266
2023-05-16,S7_330,발주가능,490,간식,484
2023-05-16,S7_332,발주가능,526,간식,520
2023-05-16,S7_337,발주가능,436,간식,427
2023-05-16,S7_338,발주가능,678,간식,675
2023-05-16,S7_343,발주가능,557,빵,556
2023-05-16,S7_345,발주가능,649,빵,642
2023-05-16,S7_351,발주가능,659,빵,658
2023-05-16,S7_352,발주가능,534,빵,526
2023-05-16,S7_353,발주가능,312,빵,312
2023-05-16,S7_357,발주가능,343,빵,342
2023-05-16,S7_359,발주가능,66,물,58
2023-05-16,S7_363,발주가능,693,물,691
2023-05-16,S7_364,발주가능,49,물,43
2023-05-16,S7_365,발주가능,108,물,99
2023-05-16,S7_366,발주가능,240,물,233
2023-05-16,S7_368,발주가능,74,물,65
2023-05-16,S7_369,발주가능,496,물,496
2023-05-16,S7_370,발주가능,239,물,230
2023-05-16,S7_376,발주가능,381,간식,376
2023-05-16,S7_377,발주가능,183,간식,178
2023-05-16,S7_378,발주가능,530,간식,526
2023-05-16,S7_382,발주가능,164,간식,160
2023-05-16,S7_383,발주가능,88,간식,82
2023-05-16,S7_385,발주가능,559,간식,553
2023-05-16,S7_388,발주가능,57,간식,57
2023-05-16,S7_390,발주가능,12,빵,4
2023-05-16,S7_393,발주가능,13,물,11
2023-05-16,S7_396,발주가능,433,물,433
2023-05-16,S7_398,발주가능,219,물,219
2023-05-16,S7_408,발주가능,648,우유,641
2023-05-16,S7_409,발주가능,698,우유,694
2023-05-16,S7_411,발주가능,197,우유,194
2023-05-16,S7_414,발주가능,458,우유,451
2023-05-16,S7_419,발주가능,543,우유,535
2023-05-16,S7_420,발주가능,395,우유,386
2023-05-16,S7_422,발주가능,27,우유,20
2023-05-16,S7_426,발주가능,427,간식,418
2023-05-16,S7_427,발주가능,56,간식,55
2023-05-16,S7_428,발주가능,264,간식,256
2023-05-16,S7_430,발주가능,130,간식,127
2023-05-16,S7_432,발주가능,580,물,572
2023-05-16,S7_433,발주가능,635,물,626
2023-05-16,S7_436,발주가능,153,물,150
2023-05-16,S7_437,발주가능,34,물,26
2023-05-16,S7_438,발주가능,250,물,250
2023-05-16,S7_439,발주가능,445,물,437
2023-05-16,S7_440,발주가능,253,주류,251
2023-05-16,S7_442,발주가능,587,빵,586
2023-05-16,S7_443,발주가능,268,빵,262
2023-05-16,S7_444,발주가능,317,우유,316
2023-05-16,S7_453,발주가능,232,우유,225
2023-05-16,S7_458,발주가능,457,주류,449
2023-05-16,S7_459,발주가능,191,빵,188
2023-05-16,S7_460,발주가능,151,스낵,151
2023-05-16,S7_462,발주가능,540,우유,534
2023-05-16,S7_464,발주가능,488,물,485
2023-05-16,S7_468,발주가능,84,물,79
2023-05-16,S7_470,발주가능,115,주류,111
2023-05-17,S7_1,발주가능,209,빵,203
2023-05-17,S7_3,발주가능,592,빵,589
2023-05-17,S7_6,발주가능,252,우유,246
2023-05-17,S7_9,발주가능,60,빵,59
2023-05-17,S7_10,발주가능,496,빵,490
2023-05-17,S7_12,발주가능,94,빵,87
2023-05-17,S7_13,발주가능,492,빵,485
2023-05-17,S7_18,발주가능,546,우유,542
2023-05-17,S7_19,발주가능,380,우유,376
2023-05-17,S7_23,발주가능,245,빵,236
2023-05-17,S7_24,발주가능,288,빵,286
2023-05-17,S7_26,발주가능,625,빵,617
2023-05-17,S7_27,발주가능,189,빵,182
2023-05-17,S7_32,발주가능,74,빵,71
2023-05-17,S7_34,발주가능,54,우유,53
2023-05-17,S7_39,발주가능,295,우유,287
2023-05-17,S7_41,발주가능,654,우유,645
2023-05-17,S7_44,발주가능,230,간식,221
2023-05-17,S7_45,발주가능,610,간식,610
2023-05-17,S7_47,발주가능,647,배달음식,644
2023-05-17,S7_52,발주가능,670,배달음식,664
2023-05-17,S7_58,발주가능,132,배달음식,126
2023-05-17,S7_59,발주가능,403,배달음식,401
2023-05-17,S7_60,발주가능,472,빵,468
2023-05-17,S7_61,발주가능,577,빵,573
2023-05-17,S7_68,발주가능,640,빵,640
2023-05-17,S7_74,발주가능,134,빵,133
2023-05-17,S7_75,발주가능,656,빵,648
2023-05-17,S7_77,발주가능,271,빵,269
2023-05-17,S7_79,발주가능,589,빵,586
2023-05-17,S7_80,발주가능,203,우유,202
2023-05-17,S7_81,발주가능,203,우유,196
2023-05-17,S7_83,발주가능,692,물,689
2023-05-17,S7_88,발주가능,107,우유,103
2023-05-17,S7_89,발주가능,636,물,630
2023-05-17,S7_90,발주가능,231,물,224
2023-05-17,S7_91,발주가능,595,물,592
2023-05-17,S7_92,발주가능,339,물,337
2023-05-17,S7_95,발주가능,534,주류,530
2023-05-17,S7_96,발주가능,642,주류,642
2023-05-17,S7_97,발주가능,158,주류,157
2023-05-17,S7_99,발주가능,514,우유,508
2023-05-17,S7_100,발주가능,438,배달음식,429
2023-05-17,S7_101,발주가능,329,배달음식,326
2023-05-17,S7_103,발주가능,385,물,383
2023-05-17,S7_105,발주가능,459,빵,451
2023-05-17,S7_106,발주가능,203,주류,194
2023-05-17,S7_110,발주가능,317,빵,309
2023-05-17,S7_112,발주가능,433,우유,432
2023-05-17,S7_113,발주가능,625,배달음식,618
2023-05-17,S7_116,발주가능,521,우유,520
2023-05-17,S7_117,발주가능,466,우유,464
2023-05-17,S7_118,발주가능,447,우유,439
2023-05-17,S7_120,발주가능,268,기타,259
2023-05-17,S7_122,발주가능,63,물,58
2023-05-17,S7_123,발주가능,283,빵,279
2023-05-17,S7_125,발주가능,268,물,263
2023-05-17,S7_127,발주가능,308,빵,303
2023-05-17,S7_128,발주가능,338,빵,332
2023-05-17,S7_131,발주가능,540,스낵,532
2023-05-17,S7_136,발주가능,440,주류,436
2023-05-17,S7_138,발주가능,185,빵,185
2023-05-17,S7_139,발주가능,393,간식,391
2023-05-17,S7_141,발주가능,394,간식,385
2023-05-17,S7_145,발주가능,312,빵,310
2023-05-17,S7_146,발주가능,285,빵,282
2023-05-17,S7_155,발주가능,409,물,407
2023-05-17,S7_157,발주가능,385,배달음식,379
2023-05-17,S7_162,발주가능,479,물,472
2023-05-17,S7_170,발주가능,322,간식,321
2023-05-17,S7_172,발주가능,560,간식,554
2023-05-17,S7_177,발주가능,645,물,643
2023-05-17,S7_181,발주가능,430,물,428
2023-05-17,S7_183,발주가능,444,물,439
2023-05-17,S7_185,발주가능,116,물,113
2023-05-17,S7_186,발주가능,585,우유,580
2023-05-17,S7_189,발주가능,237,배달음식,236
2023-05-17,S7_192,발주가능,313,빵,305
2023-05-17,S7_195,발주가능,201,우유,194
2023-05-17,S7_204,발주가능,618,배달음식,612
2023-05-17,S7_206,발주가능,505,빵,497
2023-05-17,S7_207,발주가능,594,빵,586
2023-05-17,S7_208,발주가능,180,빵,171
2023-05-17,S7_210,발주가능,196,물,187
2023-05-17,S7_213,발주가능,659,우유,659
2023-05-17,S7_220,발주가능,551,우유,545
2023-05-17,S7_223,발주가능,499,빵,492
2023-05-17,S7_227,발주가능,573,우유,573
2023-05-17,S7_228,발주가능,187,우유,179
2023-05-17,S7_233,발주가능,662,주류,660
2023-05-17,S7_234,발주가능,69,빵,66
2023-05-17,S7_235,발주가능,693,물,692
2023-05-17,S7_238,발주가능,439,빵,434
2023-05-17,S7_239,발주가능,335,빵,328
2023-05-17,S7_241,발주가능,589,물,588
2023-05-17,S7_243,발주가능,419,배달음식,417
2023-05-17,S7_245,발주가능,623,배달음식,620
2023-05-17,S7_248,발주가능,595,물,588
2023-05-17,S7_255,발주가능,682,간식,678
2023-05-17,S7_258,발주가능,30,간식,29
2023-05-17,S7_260,발주가능,281,간식,279
2023-05-17,S7_263,발주가능,438,배달음식,437
2023-05-17,S7_265,발주가능,605,배달음식,603
2023-05-17,S7_266,발주가능,391,배달음식,383
2023-05-17,S7_273,발주가능,287,빵,281
2023-05-17,S7_275,발주가능,318,우유,309
2023-05-17,S7_276,발주가능,587,우유,584
2023-05-17,S7_277,발주가능,309,빵,303
2023-05-17,S7_279,발주가능,81,빵,79
2023-05-17,S7_284,발주가능,420,배달음식,411
2023-05-17,S7_285,발주가능,88,우유,84
2023-05-17,S7_289,발주가능,645,물,643
2023-05-17,S7_290,발주가능,56,물,52
2023-05-17,S7_294,발주가능,658,빵,652
2023-05-17,S7_299,발주가능,372,빵,368
2023-05-17,S7_300,발주가능,359,주류,350
2023-05-17,S7_303,발주가능,154,주류,146
2023-05-17,S7_304,발주가능,629,주류,620
2023-05-17,S7_305,발주가능,166,주류,159
2023-05-17,S7_306,발주가능,429,주류,425
2023-05-17,S7_309,발주가능,148,주류,145
2023-05-17,S7_312,발주가능,217,주류,210
2023-05-17,S7_316,발주가능,417,빵,411
2023-05-17,S7_318,발주가능,294,빵,290
2023-05-17,S7_321,발주가능,160,빵,156
2023-05-17,S7_323,발주가능,67,빵,67
2023-05-17,S7_324,발주가능,177,주류,169
2023-05-17,S7_325,발주가능,194,주류,191
2023-05-17,S7_327,발주가능,121,주류,119
2023-05-17,S7_329,발주가능,46,주류,46
2023-05-17,S7_330,발주가능,295,간식,286
2023-05-17,S7_331,발주가능,108,간식,105
2023-05-17,S7_332,발주가능,227,간식,222
2023-05-17,S7_333,발주가능,148,간식,143
2023-05-17,S7_337,발주가능,549,간식,541
2023-05-17,S7_338,발주가능,674,간식,665
2023-05-17,S7_340,발주가능,155,물,152
2023-05-17,S7_342,발주가능,417,우유,409
2023-05-17,S7_343,발주가능,594,빵,590
2023-05-17,S7_348,발주가능,206,빵,202
2023-05-17,S7_350,발주가능,282,빵,278
2023-05-17,S7_351,발주가능,50,빵,46
2023-05-17,S7_355,발주가능,438,빵,436
2023-05-17,S7_356,발주가능,220,빵,217
2023-05-17,S7_359,발주가능,591,물,586
2023-05-17,S7_363,발주가능,442,물,436
2023-05-17,S7_373,발주가능,84,물,79
2023-05-17,S7_374,발주가능,609,물,609
2023-05-17,S7_377,발주가능,391,간식,388
2023-05-17,S7_378,발주가능,540,간식,538
2023-05-17,S7_379,발주가능,398,간식,392
2023-05-17,S7_382,발주가능,131,간식,124
2023-05-17,S7_383,발주가능,234,간식,229
2023-05-17,S7_384,발주가능,464,간식,464
2023-05-17,S7_386,발주가능,273,간식,264
2023-05-17,S7_387,발주가능,386,간식,378
2023-05-17,S7_390,발주가능,461,빵,455
2023-05-17,S7_394,발주가능,37,물,35
2023-05-17,S7_400,발주가능,13,물,12
2023-05-17,S7_401,발주가능,22,물,18
2023-05-17,S7_402,발주가능,503,물,502
2023-05-17,S7_403,발주가능,320,물,318
2023-05-17,S7_404,발주가능,693,물,684
2023-05-17,S7_407,발주가능,437,물,433
2023-05-17,S7_411,발주가능,379,우유,372
2023-05-17,S7_414,발주가능,73,우유,68
2023-05-17,S7_418,발주가능,555,우유,547
2023-05-17,S7_419,발주가능,557,우유,554
2023-05-17,S7_420,발주가능,315,우유,309
2023-05-17,S7_421,발주가능,475,우유,466
2023-05-17,S7_423,발주가능,135,우유,131
2023-05-17,S7_425,발주가능,460,우유,452
2023-05-17,S7_433,발주가능,681,물,678
2023-05-17,S7_434,발주가능,401,물,400
2023-05-17,S7_441,발주가능,543,물,538
2023-05-17,S7_443,발주가능,511,빵,502
2023-05-17,S7_444,발주가능,346,우유,344
2023-05-17,S7_447,발주가능,343,우유,338
2023-05-17,S7_450,발주가능,145,스낵,145
2023-05-17,S7_452,발주가능,510,스낵,506
2023-05-17,S7_453,발주가능,683,우유,676
2023-05-17,S7_459,발주가능,77,빵,71
2023-05-17,S7_460,발주가능,47,스낵,44
2023-05-17,S7_463,발주가능,24,간식,23
2023-05-17,S7_465,발주가능,340,물,334
2023-05-17,S7_470,발주가능,211,주류,204
2023-05-18,S7_2,발주가능,577,빵,573
2023-05-18,S7_3,발주가능,199,빵,198
2023-05-18,S7_4,발주가능,31,물,23
2023-05-18,S7_11,발주가능,414,빵,413
2023-05-18,S7_12,발주가능,652,빵,651
2023-05-18,S7_15,발주가능,24,빵,18
2023-05-18,S7_16,발주가능,624,주류,618
2023-05-18,S7_17,발주가능,301,우유,299
2023-05-18,S7_18,발주가능,608,우유,602
2023-05-18,S7_23,발주가능,58,빵,50
2023-05-18,S7_26,발주가능,139,빵,137
2023-05-18,S7_30,발주가능,47,주류,40
2023-05-18,S7_32,발주가능,688,빵,681
2023-05-18,S7_33,발주가능,599,우유,596
2023-05-18,S7_36,발주가능,170,우유,165
2023-05-18,S7_38,발주가능,642,우유,639
2023-05-18,S7_40,발주가능,411,우유,403
2023-05-18,S7_41,발주가능,352,우유,343
2023-05-18,S7_44,발주가능,639,간식,637
2023-05-18,S7_47,발주가능,270,배달음식,265
2023-05-18,S7_49,발주가능,425,배달음식,422
2023-05-18,S7_54,발주가능,332,빵,326
2023-05-18,S7_56,발주가능,145,물,143
2023-05-18,S7_61,발주가능,279,빵,271
2023-05-18,S7_62,발주가능,636,빵,628
2023-05-18,S7_70,발주가능,502,기타,494
2023-05-18,S7_72,발주가능,303,물,303
2023-05-18,S7_74,발주가능,168,빵,168
2023-05-18,S7_75,발주가능,501,빵,497
2023-05-18,S7_76,발주가능,48,빵,45
2023-05-18,S7_77,발주가능,161,빵,155
2023-05-18,S7_79,발주가능,591,빵,584
2023-05-18,S7_82,발주가능,484,물,476
2023-05-18,S7_83,발주가능,44,물,38
2023-05-18,S7_84,발주가능,25,우유,21
2023-05-18,S7_87,발주가능,244,빵,235
2023-05-18,S7_89,발주가능,187,물,185
2023-05-18,S7_91,발주가능,314,물,306
2023-05-18,S7_98,발주가능,14,우유,12
2023-05-18,S7_99,발주가능,521,우유,518
2023-05-18,S7_101,발주가능,212,배달음식,208
2023-05-18,S7_102,발주가능,264,배달음식,259
2023-05-18,S7_103,발주가능,611,물,605
2023-05-18,S7_106,발주가능,341,주류,338
2023-05-18,S7_107,발주가능,641,주류,638
2023-05-18,S7_108,발주가능,523,빵,516
2023-05-18,S7_110,발주가능,284,빵,275
2023-05-18,S7_113,발주가능,573,배달음식,566
2023-05-18,S7_114,발주가능,446,우유,446
2023-05-18,S7_116,발주가능,337,우유,329
2023-05-18,S7_120,발주가능,75,기타,66
2023-05-18,S7_121,발주가능,327,물,325
2023-05-18,S7_123,발주가능,599,빵,595
2023-05-18,S7_127,발주가능,297,빵,292
2023-05-18,S7_128,발주가능,569,빵,562
2023-05-18,S7_129,발주가능,397,물,391
2023-05-18,S7_131,발주가능,381,스낵,373
2023-05-18,S7_132,발주가능,33,주류,24
2023-05-18,S7_133,발주가능,650,주류,642
2023-05-18,S7_135,발주가능,464,주류,460
2023-05-18,S7_136,발주가능,526,주류,519
2023-05-18,S7_137,발주가능,405,주류,402
2023-05-18,S7_138,발주가능,79,빵,75
2023-05-18,S7_139,발주가능,370,간식,363
2023-05-18,S7_140,발주가능,261,간식,254
2023-05-18,S7_141,발주가능,97,간식,90
2023-05-18,S7_143,발주가능,542,간식,534
2023-05-18,S7_146,발주가능,214,빵,213
2023-05-18,S7_147,발주가능,211,간식,206
2023-05-18,S7_152,발주가능,151,주류,151
2023-05-18,S7_154,발주가능,320,물,312
2023-05-18,S7_155,발주가능,332,물,331
2023-05-18,S7_157,발주가능,208,배달음식,199
2023-05-18,S7_160,발주가능,145,물,142
2023-05-18,S7_163,발주가능,540,물,531
2023-05-18,S7_166,발주가능,195,간식,189
2023-05-18,S7_167,발주가능,614,간식,613
2023-05-18,S7_170,발주가능,215,간식,211
2023-05-18,S7_171,발주가능,170,간식,163
2023-05-18,S7_173,발주가능,277,간식,276
2023-05-18,S7_174,발주가능,260,물,257
2023-05-18,S7_175,발주가능,209,물,205
2023-05-18,S7_177,발주가능,683,물,678
2023-05-18,S7_183,발주가능,392,물,385
2023-05-18,S7_184,발주가능,332,물,328
2023-05-18,S7_185,발주가능,560,물,553
2023-05-18,S7_187,발주가능,451,배달음식,448
2023-05-18,S7_191,발주가능,532,빵,527
2023-05-18,S7_193,발주가능,310,우유,309
2023-05-18,S7_195,발주가능,347,우유,342
2023-05-18,S7_196,발주가능,243,우유,234
2023-05-18,S7_472,발주가능,148,배달음식,146
2023-05-18,S7_201,발주가능,581,배달음식,574
2023-05-18,S7_202,발주가능,413,배달음식,409
2023-05-18,S7_203,발주가능,32,배달음식,23
2023-05-18,S7_206,발주가능,496,빵,492
2023-05-18,S7_213,발주가능,502,우유,498
2023-05-18,S7_214,발주가능,148,우유,139
2023-05-18,S7_217,발주가능,568,우유,561
2023-05-18,S7_222,발주가능,480,빵,473
2023-05-18,S7_224,발주가능,443,빵,434
2023-05-18,S7_473,발주가능,83,우유,77
2023-05-18,S7_231,발주가능,593,주류,592
2023-05-18,S7_232,발주가능,638,주류,635
2023-05-18,S7_238,발주가능,575,빵,566
2023-05-18,S7_243,발주가능,405,배달음식,405
2023-05-18,S7_245,발주가능,226,배달음식,217
2023-05-18,S7_247,발주가능,198,물,196
2023-05-18,S7_248,발주가능,669,물,664
2023-05-18,S7_251,발주가능,452,배달음식,451
2023-05-18,S7_252,발주가능,677,우유,672
2023-05-18,S7_255,발주가능,611,간식,608
2023-05-18,S7_256,발주가능,571,간식,567
2023-05-18,S7_257,발주가능,441,간식,433
2023-05-18,S7_260,발주가능,495,간식,486
2023-05-18,S7_264,발주가능,391,배달음식,384
2023-05-18,S7_269,발주가능,450,물,443
2023-05-18,S7_270,발주가능,614,빵,609
2023-05-18,S7_271,발주가능,245,빵,243
2023-05-18,S7_273,발주가능,556,빵,552
2023-05-18,S7_274,발주가능,557,우유,556
2023-05-18,S7_279,발주가능,343,빵,340
2023-05-18,S7_294,발주가능,425,빵,416
2023-05-18,S7_300,발주가능,586,주류,578
2023-05-18,S7_301,발주가능,681,주류,675
2023-05-18,S7_302,발주가능,368,주류,361
2023-05-18,S7_305,발주가능,27,주류,18
2023-05-18,S7_308,발주가능,239,주류,235
2023-05-18,S7_309,발주가능,490,주류,485
2023-05-18,S7_311,발주가능,627,주류,625
2023-05-18,S7_313,발주가능,421,물,412
2023-05-18,S7_317,발주가능,355,빵,351
2023-05-18,S7_323,발주가능,692,빵,683
2023-05-18,S7_329,발주가능,530,주류,522
2023-05-18,S7_337,발주가능,172,간식,172
2023-05-18,S7_338,발주가능,292,간식,286
2023-05-18,S7_340,발주가능,138,물,136
2023-05-18,S7_343,발주가능,171,빵,170
2023-05-18,S7_346,발주가능,147,빵,146
2023-05-18,S7_355,발주가능,663,빵,660
2023-05-18,S7_360,발주가능,13,물,11
2023-05-18,S7_361,발주가능,204,물,200
2023-05-18,S7_363,발주가능,414,물,412
2023-05-18,S7_365,발주가능,509,물,503
2023-05-18,S7_366,발주가능,309,물,305
2023-05-18,S7_367,발주가능,550,물,543
2023-05-18,S7_371,발주가능,215,물,210
2023-05-18,S7_372,발주가능,560,물,552
2023-05-18,S7_373,발주가능,77,물,75
2023-05-18,S7_376,발주가능,86,간식,83
2023-05-18,S7_378,발주가능,396,간식,390
2023-05-18,S7_379,발주가능,341,간식,341
2023-05-18,S7_380,발주가능,671,간식,662
2023-05-18,S7_384,발주가능,633,간식,624
2023-05-18,S7_386,발주가능,113,간식,105
2023-05-18,S7_387,발주가능,302,간식,294
2023-05-18,S7_390,발주가능,343,빵,341
2023-05-18,S7_392,발주가능,441,빵,438
2023-05-18,S7_393,발주가능,447,물,439
2023-05-18,S7_394,발주가능,422,물,420
2023-05-18,S7_398,발주가능,586,물,586
2023-05-18,S7_401,발주가능,34,물,30
2023-05-18,S7_407,발주가능,601,물,592
2023-05-18,S7_409,발주가능,468,우유,463
2023-05-18,S7_410,발주가능,518,우유,512
2023-05-18,S7_411,발주가능,650,우유,644
2023-05-18,S7_415,발주가능,565,우유,557
2023-05-18,S7_418,발주가능,157,우유,150
2023-05-18,S7_427,발주가능,649,간식,644
2023-05-18,S7_429,발주가능,2,간식,0
2023-05-18,S7_434,발주가능,455,물,453
2023-05-18,S7_435,발주가능,502,물,495
2023-05-18,S7_436,발주가능,104,물,96
2023-05-18,S7_441,발주가능,623,물,616
2023-05-18,S7_442,발주가능,299,빵,294
2023-05-18,S7_443,발주가능,6,빵,-3
2023-05-18,S7_449,발주가능,244,우유,244
2023-05-18,S7_450,발주가능,580,스낵,578
2023-05-18,S7_453,발주가능,547,우유,546
2023-05-18,S7_456,발주가능,186,우유,182
2023-05-18,S7_461,발주가능,218,스낵,215
2023-05-18,S7_465,발주가능,353,물,353
2023-05-18,S7_466,발주가능,248,주류,239
2023-05-18,S7_467,발주가능,611,물,606
2023-05-19,S7_2,발주가능,87,빵,87
2023-05-19,S7_4,발주가능,206,물,206
2023-05-19,S7_6,발주가능,292,우유,287
2023-05-19,S7_9,발주가능,306,빵,303
2023-05-19,S7_10,발주가능,158,빵,155
2023-05-19,S7_12,발주가능,495,빵,489
2023-05-19,S7_13,발주가능,186,빵,177
2023-05-19,S7_14,발주가능,220,빵,215
2023-05-19,S7_17,발주가능,100,우유,95
2023-05-19,S7_18,발주가능,578,우유,576
2023-05-19,S7_20,발주가능,294,주류,293
2023-05-19,S7_22,발주가능,473,빵,466
2023-05-19,S7_25,발주가능,460,빵,458
2023-05-19,S7_26,발주가능,311,빵,303
2023-05-19,S7_31,발주가능,254,빵,245
